City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
586,Tuy Hoa,VN,75.76,very heavy rain,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
587,Cabedelo,BR,75.87,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
591,Vila Franca Do Campo,PT,73.81,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
593,Singkang,MY,76.89,overcast clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
594,Lamar,US,71.64,clear sky,33.6668,-95.5836,Kings Inn Paris TX
595,Kutum,SD,78.28,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
598,Sinjai,ID,77.2,scattered clouds,-5.1241,120.253,Wisma Sandika
599,San Buenaventura,MX,72.52,"sand,dust whirls",27.0833,-101.5333,Hotel Gran Plaza
608,Guarapari,BR,78.69,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
610,Portland,US,70.5,scattered clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
613,Palmer,US,72.5,scattered clouds,42.1584,-72.3287,Wedgewood Motel
614,Karratha,AU,70.65,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
616,Tebingtinggi,ID,77.05,overcast clouds,3.3285,99.1625,Hotel Malibou tebing tinggi
619,Saint-Leu,RE,72.43,few clouds,-21.15,55.2833,La Caz Oceane
624,Spokane,US,71.06,clear sky,47.6166,-117.3677,Madison Inn by Riversage
631,Mawlaik,MM,72.9,overcast clouds,23.6333,94.4167,AKZ Guest House
633,Mbandaka,CD,71.67,light rain,0.0487,18.2603,Guest House Epervier
636,Charters Towers,AU,75.63,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
639,Dong Hoi,VN,74.44,overcast clouds,17.4833,106.6,Nam Long Hotel
641,Pozo Colorado,PY,70.9,overcast clouds,-23.4923,-58.7972,Hospedaje la Amistad
647,Port-Gentil,GA,78.76,scattered clouds,-0.7193,8.7815,Fengshui Residence
653,Ilhabela,BR,70.34,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
660,Mattru,SL,74.08,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
662,Sur,OM,79.29,clear sky,22.5667,59.5289,Sur Plaza Hotel
665,Surt,LY,70.5,overcast clouds,31.2089,16.5887,الهادي ابوشعاله سرت
667,Cap Malheureux,MU,73.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
672,Sambava,MG,70.36,light rain,-14.2667,50.1667,Melrose
675,Mayor Pablo Lagerenza,PY,71.19,overcast clouds,-19.9309,-60.7718,
676,Wawa,NG,79.27,clear sky,9.9022,4.4192,
683,Pangkalanbuun,ID,75.31,light rain,-2.6833,111.6167,Grand Kecubung Hotel
686,Dawei,MM,74.37,light rain,14.0833,98.2,Hotel Dawei
688,Tarakan,ID,74.7,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
690,Monze,ZM,77.77,clear sky,-16.2833,27.4833,Fay terry lodge
694,Irbil,IQ,73.22,clear sky,36.1926,44.0106,Erbil International Hotel
701,Bonthe,SL,79.02,broken clouds,7.5264,-12.505,Bonthe Holiday Village
