City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Pangnirtung,CA,2021-10-06 20:30:54,66.1451,-65.7125,41.0,70,75,9.22
68,Ola,RU,2021-10-06 20:30:54,59.5833,151.2833,26.01,49,9,5.61
69,Pahrump,US,2021-10-06 20:26:54,36.2083,-115.9839,80.94,32,52,7.0
70,Bluff,NZ,2021-10-06 20:30:55,-46.6,168.3333,51.8,87,79,6.46
71,Luwuk,ID,2021-10-06 20:28:00,-0.9516,122.7875,75.33,81,95,3.4
72,Maguilling,PH,2021-10-06 20:30:55,17.7582,121.4849,72.68,95,100,2.04
73,Barrow,US,2021-10-06 20:30:55,71.2906,-156.7887,32.02,86,90,10.36
74,Hasaki,JP,2021-10-06 20:30:55,35.7333,140.8333,66.6,71,100,10.58
75,Chuy,UY,2021-10-06 20:30:56,-33.6971,-53.4616,53.46,66,43,16.26
76,Norman Wells,CA,2021-10-06 20:30:56,65.282,-126.8329,30.24,86,20,9.22
77,Strelna,RU,2021-10-06 20:30:56,59.8483,30.0261,53.02,64,0,8.95
78,Port Lincoln,AU,2021-10-06 20:26:53,-34.7333,135.8667,49.5,64,8,7.38
79,Saskylakh,RU,2021-10-06 20:30:57,71.9167,114.0833,24.76,97,100,9.73
80,Kamenka,RU,2021-10-06 20:30:57,51.3223,42.7678,40.86,53,100,5.79
81,Tarpon Springs,US,2021-10-06 20:30:58,28.1461,-82.7568,93.29,65,1,5.01
82,Busselton,AU,2021-10-06 20:28:51,-33.65,115.3333,51.04,72,100,6.42
83,Baykit,RU,2021-10-06 20:30:58,61.67,96.37,33.21,96,100,7.56
84,Kununurra,AU,2021-10-06 20:30:58,-15.7667,128.7333,75.18,83,67,0.0
85,Valparaiso,CL,2021-10-06 20:29:59,-33.0393,-71.6273,77.23,45,0,9.22
86,Pundaguitan,PH,2021-10-06 20:30:59,6.3711,126.1689,82.49,73,63,2.84
87,Hamilton,US,2021-10-06 20:30:38,39.1834,-84.5333,79.75,73,1,1.99
88,Den Helder,NL,2021-10-06 20:30:59,52.9599,4.7593,58.06,84,20,3.0
89,Akdepe,TM,2021-10-06 20:31:00,42.0551,59.3788,46.49,29,100,18.66
90,Chilca,PE,2021-10-06 20:31:00,-12.5211,-76.7372,69.85,83,40,7.67
91,Amos,CA,2021-10-06 20:30:04,48.5669,-78.1162,70.07,58,0,4.14
92,Hermanus,ZA,2021-10-06 20:31:01,-34.4187,19.2345,61.81,86,5,15.99
93,Seguela,CI,2021-10-06 20:31:01,7.9611,-6.6731,73.78,91,90,2.53
94,Saldanha,ZA,2021-10-06 20:31:02,-33.0117,17.9442,68.05,65,0,10.69
95,Yining,CN,2021-10-06 20:31:02,29.0361,114.5636,65.52,92,63,3.4
96,Mehamn,NO,2021-10-06 20:31:03,71.0357,27.8492,42.71,75,100,15.55
97,Auki,SB,2021-10-06 20:31:03,-8.7676,160.7034,81.68,77,89,3.38
98,Katsuura,JP,2021-10-06 20:31:03,35.1333,140.3,68.18,77,100,12.44
99,Nemuro,JP,2021-10-06 20:31:04,43.3236,145.575,51.17,61,100,6.89
100,Yellowknife,CA,2021-10-06 20:26:13,62.456,-114.3525,40.41,94,90,1.99
101,Kriva Palanka,MK,2021-10-06 20:31:04,42.2019,22.3319,55.8,86,75,4.74
102,Mahebourg,MU,2021-10-06 20:31:04,-20.4081,57.7,69.26,94,75,3.44
103,Puerto Ayora,EC,2021-10-06 20:31:05,-0.7393,-90.3518,76.96,88,94,7.0
