City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
78,Faanui,PF,-16.4833,-151.75,80.04,72,36,21.0,scattered clouds
79,Kahului,US,20.8947,-156.47,82.98,69,40,17.27,scattered clouds
80,Hilo,US,19.7297,-155.09,76.8,89,90,6.91,moderate rain
81,Celestun,MX,20.8667,-90.4,84.58,67,87,12.8,overcast clouds
82,Isangel,VU,-19.55,169.2667,77.11,94,100,4.61,heavy intensity rain
83,Saldanha,ZA,-33.0117,17.9442,53.65,57,60,13.31,broken clouds
84,Longyearbyen,SJ,78.2186,15.6401,26.44,46,75,14.97,broken clouds
85,Touros,BR,-5.1989,-35.4608,81.5,80,94,14.94,overcast clouds
86,Ballina,AU,-28.8667,153.5667,64.78,63,17,4.61,few clouds
87,Eyl,SO,7.9803,49.8164,78.6,84,99,12.15,overcast clouds
88,Namibe,AO,-15.1961,12.1522,63.7,85,23,3.42,few clouds
89,Flagstaff,US,35.1981,-111.6513,69.1,23,1,8.99,clear sky
90,Mitsamiouli,KM,-11.3847,43.2844,76.51,79,1,13.38,clear sky
91,Vaini,TO,-21.2,-175.2,75.36,94,75,8.05,light intensity drizzle
92,Barcelona,ES,41.3888,2.159,65.8,83,20,2.3,few clouds
93,Nago,JP,26.5881,127.9761,75.36,75,91,20.96,overcast clouds
94,New Norfolk,AU,-42.7826,147.0587,51.66,55,98,4.63,overcast clouds
95,Tuatapere,NZ,-46.1333,167.6833,56.44,73,81,6.71,broken clouds
96,Jacksonville,US,30.3322,-81.6556,90.03,59,75,1.01,haze
97,Chokurdakh,RU,70.6333,147.9167,-4.72,100,94,3.36,overcast clouds
98,Norman Wells,CA,65.282,-126.8329,28.44,86,75,18.41,light snow
99,Tiznit,MA,29.5833,-9.5,72.64,36,4,1.03,clear sky
100,Laguna,US,38.421,-121.4238,87.64,23,1,1.01,clear sky
101,Saskylakh,RU,71.9167,114.0833,-2.11,100,99,4.7,overcast clouds
102,Vryburg,ZA,-26.9566,24.7284,54.59,20,5,8.28,clear sky
103,Banda,IN,25.4833,80.3333,81.25,71,100,6.42,overcast clouds
104,Tura,IN,25.5198,90.2201,74.41,84,100,2.57,overcast clouds
